,author,author_id
164,Garry Wills,1801502711962652060
165,Abraham Lincoln,-5921011925873948620
166,Don DeLillo,2473243635995745533
167,Don DeLillo,2473243635995745533
168,Don DeLillo,2473243635995745533
169,Don DeLillo,2473243635995745533
170,Don DeLillo,2473243635995745533
171,Don DeLillo,2473243635995745533
172,Don DeLillo,2473243635995745533
173,Thomas Pynchon,-6461434904613343301
174,Thomas Pynchon,-6461434904613343301
175,Thomas Pynchon,-6461434904613343301
176,Thomas Pynchon,-6461434904613343301
177,Thomas Pynchon,-6461434904613343301
178,Thomas Pynchon,-6461434904613343301
179,Thomas Pynchon,-6461434904613343301
180,Thomas Pynchon,-6461434904613343301
181,Richard Fariña,1719761215874400971
182,Joan Didion,-1239846503195706403
183,Joan Didion,-1239846503195706403
184,Joan Didion,-1239846503195706403
185,Joan Didion,-1239846503195706403
186,Joan Didion,-1239846503195706403
187,Joan Didion,-1239846503195706403
188,Joan Didion,-1239846503195706403
189,Joan Didion,-1239846503195706403
190,Paul Auster,7072676261136435978
191,Paul Auster,7072676261136435978
192,Paul Auster,7072676261136435978
193,Paul Auster,7072676261136435978
194,Peter Moon,4006429897385314463
195,Paul Auster,7072676261136435978
196,Paul Auster,7072676261136435978
197,Paul Auster,7072676261136435978
198,Paul Auster,7072676261136435978
199,Paul Auster,7072676261136435978
200,Paul Auster,7072676261136435978
201,Paul Auster,7072676261136435978
202,Jared Diamond,6909823684694830924
203,Stephen Leeb,4152158431218802488
204,Joseph A. Tainter,-7849240920860291319
205,Robert D. Putnam,-2124840745628796756
206,Philip K. Howard,-4991995481876606153
207,Joy Harjo,1342826229983439417
208,Nikola Tesla,-5875629816567067811
209,Marc J.  Seifer,-8922488748740074173
210,Carol Dommermuth-Costa,-1970218896682344147
211,Nikola Tesla,-5875629816567067811
212,Julie Elizabeth Leto,-455901529009507297
213,Dave Thomas,-4022359513016461762
214,Maureen Kelly,-6030462496578955409
215,William Golding,1493838632067384331
216,Victor Davis Hanson,2908625471236420678
217,Ephraim Sevela,722134954374225368
