book_id;author_id
9780439785969;20314212
9780439358071;20314212
9780439554893;20314212
9780439655484;20314212
9780439682589;20314212
9780976540601;19375999
9780439827607;20314212
9780517226957;38561071
9780345453747;38561071
9781400052929;38561071
9780739322208;38561071
9780517149256;38561071
9780767908184;49159929
9780767915069;49159929
9780767910439;49159929
9780767903868;49159929
9780767903820;49159929
9780060920081;49159929
9780380713806;49159929
9780380727506;49159929
9780380715435;49159929
9780345538376;21781802
9780618517657;21781802
9780618346257;21781802
9780618260584;21781802
9780618391004;6053991
9780618510825;79727841
9780976694007;97241863
9780689840920;33065898
9781557344496;49104171
9780385326506;33065898
9781575606248;52802973
9781595580276;98169460
9781595962805;62386975
9780670059676;10353768
9780141312620;99446927
9780595321803;15822020
9781590301944;67127081
9780449146972;81761600
9780061159176;48836902
9780060762735;48836902
9780060749910;48836902
9780273704744;11348531
9781932386103;73493193
9780374517199;22190507
9780374280390;22190507
9780374519742;22190507
9780374522599;22190507
9780374518738;22190507
9780374522872;22190507
9780374519322;22190507
9780374516000;22190507
9780374520656;22190507
9780822205104;73561126
9780679734994;73561126
9781596670235;18761586
9781581807745;17050084
9780800793616;80717244
9780871202864;18761586
9780753454947;67131853
9780871209993;18761586
9781852402877;91917883
9780761129585;87250377
9780972016414;98525599
9781581805635;17050084
9780441294671;4630770
9780441102679;4630770
9780441172696;4630770
9780765306470;74819298
9780399128981;4630770
9780765353702;4630770
9780441328000;4630770
9780618212903;23278721
9780345410054;44943744
9780385732543;44943744
9780785260059;54608502
9780471780939;43513624
9780325001531;53389430
9780060762872;40035729
9780470045299;38014469
9780072262780;92095715
9780764569241;38014469
9780471933823;38087770
9780764559914;38014469
9780764584381;38014469
9780596523695;44890434
9780806523491;39682964
9780806525365;39682964
9780596527310;63228202
9780143035008;37283205
9780451528612;37283205
9780140449174;37283205
9780822001836;51078830
9781593080273;37283205
9780486437965;37283205
9781593081775;37283205
9780778322276;30462645
9780521313254;55545258
9780140183955;84499722
9780679767473;66100017
9781568491981;32404725
9780743270793;98060454
9780932863058;73842013
9780742508804;4696710
9780205358625;19412870
9781557344038;7363080
9780380720446;896853
9780821925324;22575753
9780439271691;5507543
9780606105262;22575753
9780751506433;10115538
9780060786717;3047990
9780743499347;70213836
9780765313409;31281752
