,book_id,author_id
0,9780439785969,-7231496022189490415
1,9780439358071,-7231496022189490415
2,9780439554893,-7231496022189490415
3,9780439655484,-7231496022189490415
4,9780439682589,-7231496022189490415
5,9780976540601,977643230026184745
6,9780439827607,-7231496022189490415
7,9780517226957,2124749463266512826
8,9780345453747,2124749463266512826
9,9781400052929,2124749463266512826
10,9780739322208,2124749463266512826
11,9780517149256,2124749463266512826
12,9780767908184,6575532081622169050
13,9780767915069,6575532081622169050
14,9780767910439,6575532081622169050
15,9780767903868,6575532081622169050
16,9780767903820,6575532081622169050
17,9780060920081,6575532081622169050
18,9780380713806,6575532081622169050
19,9780380727506,6575532081622169050
20,9780380715435,6575532081622169050
21,9780345538376,2220166108019312501
22,9780618517657,2220166108019312501
23,9780618346257,2220166108019312501
24,9780618260584,2220166108019312501
25,9780618391004,-7020460455077932166
26,9780618510825,-6597007398280807029
27,9780976694007,-4022359513016461762
28,9780689840920,6213843027477834418
29,9781557344496,6818965247789805768
30,9780385326506,6213843027477834418
31,9781575606248,3240388229705260135
32,9781595580276,5099989674043442717
33,9781595962805,-3681198784247758491
34,9780670059676,1188032291711663160
35,9780141312620,8005139961081533838
36,9780595321803,-3669076912399391855
37,9781590301944,6418960953798633947
38,9780449146972,2564807681874912249
39,9780061159176,-7227531330907444690
40,9780060762735,-7227531330907444690
41,9780060749910,-7227531330907444690
42,9780273704744,-7056864890386180541
43,9781932386103,-821672228468816640
44,9780374517199,-3856854722690525624
45,9780374280390,-3856854722690525624
46,9780374519742,-3856854722690525624
47,9780374522599,-3856854722690525624
48,9780374518738,-3856854722690525624
49,9780374522872,-3856854722690525624
50,9780374519322,-3856854722690525624
51,9780374516000,-3856854722690525624
52,9780374520656,-3856854722690525624
53,9780822205104,8895262497524309186
54,9780679734994,8895262497524309186
55,9781596670235,-1879757213545613695
56,9781581807745,3111811959086657073
57,9780800793616,-1813974574976813354
58,9780871202864,-1879757213545613695
59,9780753454947,8135806853690311928
60,9780871209993,-1879757213545613695
61,9781852402877,5819857057700483991
62,9780761129585,-1116129384174834334
63,9780972016414,-2731094852850781893
64,9781581805635,3111811959086657073
65,9780441294671,6594680308900839862
66,9780441102679,6594680308900839862
67,9780441172696,6594680308900839862
68,9780765306470,-6219429949221763257
69,9780399128981,6594680308900839862
70,9780765353702,6594680308900839862
71,9780441328000,6594680308900839862
72,9780618212903,6717507867194363383
73,9780345410054,1215268994008058718
74,9780385732543,1215268994008058718
75,9780785260059,-4151682192006968595
